ArraySize,S,TotalKeyCmp,KeyCmpInsertionSort,Runtime
10000, 1, 120447, 0, 9.7922
10000, 2, 120447, 4096, 8.4941
10000, 3, 120435, 7093, 7.0711
10000, 4, 120524, 7812, 7.0043
10000, 5, 121625, 15204, 5.7066
10000, 6, 121625, 15204, 5.3849
10000, 7, 121625, 15204, 6.0596
10000, 8, 121625, 15204, 5.48
10000, 9, 122557, 17918, 5.5243
10000, 10, 127117, 29005, 4.3774
10000, 11, 127117, 29005, 4.7211
10000, 12, 127117, 29005, 4.4952
10000, 13, 127117, 29005, 4.3016
10000, 14, 127117, 29005, 4.2326
10000, 15, 127117, 29005, 4.547
10000, 16, 127117, 29005, 4.409
10000, 17, 127117, 29005, 4.3706
10000, 18, 127117, 29005, 4.2848
10000, 19, 134360, 40377, 4.0677
10000, 20, 143844, 54826, 3.6065
10000, 21, 143844, 54826, 3.6038
10000, 22, 143844, 54826, 5.5905
10000, 23, 143844, 54826, 3.8728
10000, 24, 143844, 54826, 3.8369
10000, 25, 143844, 54826, 3.6429
10000, 26, 143844, 54826, 3.9657
10000, 27, 143844, 54826, 3.6916
10000, 28, 143844, 54826, 3.606
10000, 29, 143844, 54826, 3.6057
10000, 30, 143844, 54826, 3.6175
10000, 31, 143844, 54826, 4.2492
10000, 32, 143844, 54826, 3.6513
10000, 33, 143844, 54826, 3.9405
10000, 34, 143844, 54826, 3.7929
10000, 35, 143844, 54826, 3.6236
10000, 36, 143844, 54826, 3.8428
10000, 37, 143844, 54826, 3.9127
10000, 38, 143844, 54826, 3.7508
10000, 39, 180613, 100504, 3.6077
10000, 40, 183142, 103648, 3.6923
10000, 41, 183142, 103648, 3.5451
10000, 42, 183142, 103648, 3.5882
10000, 43, 183142, 103648, 3.6704
10000, 44, 183142, 103648, 3.5022
10000, 45, 183142, 103648, 3.5161
10000, 46, 183142, 103648, 3.4891
10000, 47, 183142, 103648, 3.8165
10000, 48, 183142, 103648, 3.7479
10000, 49, 183142, 103648, 3.6767
10000, 50, 183142, 103648, 3.768
10000, 51, 183142, 103648, 3.5828
10000, 52, 183142, 103648, 3.7035
10000, 53, 183142, 103648, 3.6208
10000, 54, 183142, 103648, 3.7792
10000, 55, 183142, 103648, 3.8061
10000, 56, 183142, 103648, 3.6626
10000, 57, 183142, 103648, 3.554
10000, 58, 183142, 103648, 3.4684
10000, 59, 183142, 103648, 4.1217
10000, 60, 183142, 103648, 3.4737
10000, 61, 183142, 103648, 3.5305
10000, 62, 183142, 103648, 3.4988
10000, 63, 183142, 103648, 3.5212
10000, 64, 183142, 103648, 3.9996
10000, 65, 183142, 103648, 3.6091
10000, 66, 183142, 103648, 3.6827
10000, 67, 183142, 103648, 3.7712
10000, 68, 183142, 103648, 3.5962
10000, 69, 183142, 103648, 3.6421
10000, 70, 183142, 103648, 3.5494
10000, 71, 183142, 103648, 3.4688
10000, 72, 183142, 103648, 3.5217
10000, 73, 183142, 103648, 3.5072
10000, 74, 183142, 103648, 3.9555
10000, 75, 183142, 103648, 3.6281
10000, 76, 183142, 103648, 3.6485
10000, 77, 183142, 103648, 3.81
10000, 78, 260839, 189847, 4.2058
10000, 79, 271641, 201877, 5.075
10000, 80, 271641, 201877, 4.0761
10000, 81, 271641, 201877, 4.4649
10000, 82, 271641, 201877, 4.1383
10000, 83, 271641, 201877, 4.2687
10000, 84, 271641, 201877, 4.0994
10000, 85, 271641, 201877, 4.1511
10000, 86, 271641, 201877, 4.1484
10000, 87, 271641, 201877, 4.1272
10000, 88, 271641, 201877, 4.6251
10000, 89, 271641, 201877, 4.1072
10000, 90, 271641, 201877, 4.5702
10000, 91, 271641, 201877, 4.1006
10000, 92, 271641, 201877, 4.3641
10000, 93, 271641, 201877, 4.1121
10000, 94, 271641, 201877, 4.244
10000, 95, 271641, 201877, 4.2176
10000, 96, 271641, 201877, 4.2272
10000, 97, 271641, 201877, 4.0459
10000, 98, 271641, 201877, 4.1304
10000, 99, 271641, 201877, 4.2353
10000, 100, 271641, 201877, 4.1724
10000, 101, 271641, 201877, 4.3086
